6,Saturday,8AM,4PM,17MFF-0197,1850 MISSION ST,8:00am-3:30pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037696,,08:00,16:00,9114000,08/09/2011 11:07:56 AM,08/09/2011 11:08:40 AM,3547,002,Y,Munch A Bunch,6006736.52273,2107601.90393,37.767454021665806,-122.41997085983662,"(37.7674540216658, -122.419970859837)"
1,Monday,10AM,11AM,17MFF-0197,1525 BRYANT ST,10:25am-10:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037693,,10:00,11:00,24215000,08/09/2011 11:03:04 AM,08/09/2011 11:03:23 AM,3922A,001A,Y,Munch A Bunch,6009438.81158,2107690.94096,37.767850371590328,-122.41063025866997,"(37.7678503715903, -122.41063025867)"
1,Monday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,Set-up at 500 Parnassus Ave - 7:00am-8:00am M-F,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037688,,07:00,08:00,10293000,08/09/2011 10:43:50 AM,08/09/2011 10:44:07 AM,1756,001,Y,Munch A Bunch,5996069.5611,2106506.45626,37.76383946084772,-122.45678697566204,"(37.7638394608477, -122.456786975662)"
2,Tuesday,9AM,10AM,17MFF-0197,333 12TH ST,9:15am-9:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037690,,09:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,022,Y,Munch A Bunch,6008401.24957,2108731.92186,37.770650436068024,-122.41429273795755,"(37.770650436068, -122.414292737958)"
3,Wednesday,9AM,10AM,17MFF-0197,333 12TH ST,9:15am-9:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037690,,09:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,022,Y,Munch A Bunch,6008401.24957,2108731.92186,37.770650436068024,-122.41429273795755,"(37.770650436068, -122.414292737958)"
3,Wednesday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,0279,012,Y,Munch A Bunch,6007320.10921,2115238.57752,37.788455354186787,-122.41849387706054,"(37.7884553541868, -122.418493877061)"
5,Friday,10AM,11AM,17MFF-0197,365 FULTON ST,10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037692,,10:00,11:00,5882000,08/09/2011 11:01:33 AM,08/09/2011 11:01:47 AM,0792,028,Y,Munch A Bunch,6006015.89062,2111737.13061,37.778767733234154,-122.42275734107024,"(37.7787677332342, -122.42275734107)"
3,Wednesday,10AM,11AM,17MFF-0197,365 FULTON ST,10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037692,,10:00,11:00,5882000,08/09/2011 11:01:33 AM,08/09/2011 11:01:47 AM,0792,028,Y,Munch A Bunch,6006015.89062,2111737.13061,37.778767733234154,-122.42275734107024,"(37.7787677332342, -122.42275734107)"
1,Monday,5AM,6AM,17MFF-0197,2222 17TH ST,5:30AM TO 6AM MON - FRI,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037687,,05:00,06:00,784000,05/19/2011 01:25:10 PM,06/26/2012 10:53:58 AM,3960,001,Y,Munch A Bunch,6010839.43659,2106495.60184,37.764646668800907,-122.40570143058524,"(37.7646466688009, -122.405701430585)"
4,Thursday,10AM,2PM,17MFF-0197,2200 WEBSTER ST,10:30am-1:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037694,,10:00,14:00,13547000,08/09/2011 11:03:51 AM,08/09/2011 11:04:13 AM,0613,003,Y,Munch A Bunch,6003292.81403,2116231.84055,37.790955058385009,-122.43249864822073,"(37.790955058385, -122.432498648221)"
4,Thursday,9AM,10AM,17MFF-0197,333 12TH ST,9:15am-9:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037690,,09:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,022,Y,Munch A Bunch,6008401.24957,2108731.92186,37.770650436068024,-122.41429273795755,"(37.770650436068, -122.414292737958)"
0,Sunday,8AM,4PM,17MFF-0197,1850 MISSION ST,8:00am-3:30pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037696,,08:00,16:00,9114000,08/09/2011 11:07:56 AM,08/09/2011 11:08:40 AM,3547,002,Y,Munch A Bunch,6006736.52273,2107601.90393,37.767454021665806,-122.41997085983662,"(37.7674540216658, -122.419970859837)"
5,Friday,9AM,10AM,17MFF-0197,333 12TH ST,9:15am-9:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037690,,09:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,022,Y,Munch A Bunch,6008401.24957,2108731.92186,37.770650436068024,-122.41429273795755,"(37.770650436068, -122.414292737958)"
5,Friday,10AM,11AM,17MFF-0197,1345 TURK ST,10:00am-10:15am & 12:00pm-12:15pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037695,,10:00,11:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,0756,001,Y,Munch A Bunch,6003593.05269,2112440.56598,37.780562194780259,-122.43118910546622,"(37.7805621947803, -122.431189105466)"
1,Monday,10AM,11AM,17MFF-0197,1345 TURK ST,10:00am-10:15am & 12:00pm-12:15pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037695,,10:00,11:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,0756,001,Y,Munch A Bunch,6003593.05269,2112440.56598,37.780562194780259,-122.43118910546622,"(37.7805621947803, -122.431189105466)"
3,Wednesday,10AM,11AM,17MFF-0197,1345 TURK ST,10:00am-10:15am & 12:00pm-12:15pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037695,,10:00,11:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,0756,001,Y,Munch A Bunch,6003593.05269,2112440.56598,37.780562194780259,-122.43118910546622,"(37.7805621947803, -122.431189105466)"
4,Thursday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,0279,012,Y,Munch A Bunch,6007320.10921,2115238.57752,37.788455354186787,-122.41849387706054,"(37.7884553541868, -122.418493877061)"
2,Tuesday,5AM,6AM,17MFF-0197,2222 17TH ST,5:30AM TO 6AM MON - FRI,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037687,,05:00,06:00,784000,05/19/2011 01:25:10 PM,06/26/2012 10:53:58 AM,3960,001,Y,Munch A Bunch,6010839.43659,2106495.60184,37.764646668800907,-122.40570143058524,"(37.7646466688009, -122.405701430585)"
2,Tuesday,8AM,9AM,17MFF-0197,355 07TH ST,8:40am-9:00am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037689,,08:00,09:00,373000,08/09/2011 10:45:01 AM,08/09/2011 10:45:17 AM,3754,018,Y,Munch A Bunch,6010572.46465,2110668.06384,37.776088358232315,-122.40691892163879,"(37.7760883582323, -122.406918921639)"
